,interest_rate,grade,debt_to_income
0,7.56,A,17.9
1,12.62,C,10.44
2,5.32,A,13.06
3,23.32,E,0.92
4,7.21,A,28.47
5,11.49,B,27.6
6,18.06,D,17.82
7,7.89,A,12.36
8,11.06,B,35.34
9,13.11,B,19.36
10,19.03,D,12.38
11,10.07,B,15.16
12,10.91,B,20.12
13,8.67,B,17.7
14,6.62,A,13.64
15,16.55,D,38.13
16,16.99,D,20.88
17,13.33,C,15.41
18,10.9,B,22.89
19,11.55,B,8.23
20,15.59,D,13.32
21,8.24,B,19.3
22,14.49,C,9.42
23,14.31,C,13.51
24,6.46,A,11.29
25,15.02,C,20.23
26,11.99,B,18.51
27,14.99,C,20.09
28,13.99,C,18.5
29,11.06,B,21.4
30,11.8,B,14.85
31,7.24,A,14.06
32,10.64,B,15.1
33,7.12,A,18.95
34,13.11,B,13.88
35,6.11,A,2.82
36,5.32,A,15.59
37,18.94,D,17.22
38,17.97,D,12
39,10.72,B,25.52
40,10.99,B,14.05
41,6.62,A,6.88
42,9.43,B,23.69
43,12.79,C,21.22
44,9.44,B,18.99
45,12.62,C,18.04
46,12.69,C,26.22
47,21.85,D,33.42
48,16.49,D,10.31
49,17.57,D,34.65
50,9.75,B,15.42
51,13.67,C,36.77
52,7.97,A,13.77
53,12.74,C,7.86
54,19.03,D,2.24
55,16.14,C,21.02
56,7.84,A,6.79
57,17.57,D,32.96
58,21.7,E,33.03
59,18.25,D,14.67
60,6.89,A,29.77
61,10.42,B,1.11
62,16.02,C,8.18
63,13.98,C,20.05
64,17.27,D,24.7
65,16.02,C,74.12
66,18.92,D,20.04
67,10.42,B,19.07
68,13.44,C,12.35
69,16.59,D,15.56
70,9.93,B,16.47
71,13.99,C,18.18
72,14.07,C,30.29
73,8.39,B,28.04
74,8.59,A,27.19
75,7.07,A,12.1
76,12.62,C,34.86
77,10.49,B,15.83
78,9.49,B,5.57
79,11.53,B,17.1
80,9.43,B,14.5
81,24.99,F,27.97
82,16.99,D,33.67
83,11.47,B,15.42
84,11.99,C,33.01
85,11.44,B,8.33
86,12.29,C,18.23
87,18.25,E,8.13
88,5.32,A,20.57
89,13.59,C,17.23
90,15.31,C,23.73
91,15.05,C,17.34
92,12.12,B,25.61
93,7.97,A,8.6
94,15.02,C,35.11
95,10.64,B,7.73
96,24.08,F,26.63
97,6.92,A,33.83
98,12.29,C,17.45
99,6.11,A,7.55
100,17.27,C,3.18
101,10.99,B,23.93
102,6.99,A,13.17
103,12.29,C,26.36
104,9.17,B,25.26
105,12.49,B,19.48
106,9.43,B,15.39
107,6.99,A,10.24
108,13.05,B,17.33
109,17.58,D,18.45
110,12.29,C,15.24
111,14.08,C,21.63
112,7.21,A,7.11
113,8.59,A,25.35
114,10.99,B,14.04
115,18.92,D,17.59
116,14.99,C,30.76
117,12.12,B,27.14
118,11.99,B,31.98
119,13.49,C,18.33
120,13.67,C,19.72
121,10.99,B,30.79
122,12.39,C,27.52
123,10.49,B,17.26
124,16.55,D,9.78
125,9.99,B,14.97
126,5.32,A,13.99
127,12.79,C,25.4
128,11.31,B,9.85
129,7.89,A,9.18
130,13.56,C,18.34
131,23.63,F,10.78
132,6.68,A,21.06
133,25.82,E,17.38
134,12.99,C,23.15
135,15.05,C,2.5
136,17.47,D,11.38
137,14.65,C,37.96
138,27.31,G,9.61
139,7.21,A,4.57
140,10.75,B,30.63
141,23.13,F,11.58
142,8.46,A,26.17
143,14.03,C,28.66
144,18.24,D,14.35
145,18.94,D,7.69
146,5.31,A,10.03
147,18.49,D,31.36
148,20.75,E,18.56
149,10.9,B,18.75
150,18.2,E,11.07
151,18.99,D,27.3
152,15.05,C,22.18
153,6.99,A,10.03
154,16.99,D,22.59
155,14.09,B,11.7
156,6.99,A,11.06
157,26.77,G,20.81
158,12.74,C,24.64
159,14.99,C,32.22
160,11.67,B,8.73
161,23.4,E,6.93
162,7.35,A,33.42
163,16.99,D,15.28
164,11.44,B,24.2
165,17.09,D,26.67
166,17.27,D,33.26
167,11.67,B,12.75
168,12.69,C,11.51
169,13.33,C,29.62
170,13.67,C,10.29
171,14.31,C,19.39
172,9.99,B,23.64
173,16.14,C,25.53
174,18.25,D,11.81
175,12.79,C,22.29
176,11.99,C,31.75
177,17.27,D,8.59
178,8.24,B,17.81
179,6.11,A,37.99
180,9.99,B,8.29
181,19.19,E,25.36
182,10.99,B,11.01
183,21.45,D,29.29
184,5.32,A,5.03
185,18.54,E,13.59
186,12.74,C,28.76
187,9.67,B,19.37
188,10.08,B,13.42
189,11.67,B,16.18
190,17.99,D,19.41
191,13.06,C,9.05
192,6.99,A,18.04
193,28.72,F,16.42
194,9.76,B,23.18
195,8.46,A,9.57
196,12.79,C,26.11
197,19.22,D,16.65
198,7.89,A,9.5
199,12.74,C,24.81
200,13.35,C,12.53
201,10.42,B,29.69
202,7.39,A,21.41
203,13.99,C,15.96
204,6.99,A,15.11
205,6.62,A,4.12
206,6.99,A,11.08
207,10.91,B,19.87
208,21,E,6.81
209,25.34,E,18.08
210,20.31,D,6.82
211,12.99,C,23.02
212,10.42,B,10.23
213,13.98,C,11.25
214,5.32,A,11.52
215,11.44,B,23.66
216,16.99,D,6.96
217,24.74,E,5.49
218,9.17,B,21.45
219,6.11,A,22.94
220,10.99,B,5.65
221,11.49,B,20.03
222,5.32,A,3.91
223,6.67,A,9.56
224,16.46,C,11.99
225,12.29,C,14.71
226,7.59,A,23.15
227,6.83,A,28.83
228,10.99,B,1.81
229,6.24,A,15.88
230,13.67,B,20.33
231,8.99,B,19.08
232,6.89,A,14
233,14.47,C,23.66
234,15.05,C,32.16
235,8.67,B,18.02
236,19.99,D,20.29
237,16.29,D,24.04
238,11.05,B,19.68
239,23.99,E,33.4
240,15.49,C,22.58
241,10.9,B,18.77
242,5.32,A,16.37
243,9.49,B,9.41
244,11.99,C,20.13
245,7.26,A,25.46
246,11.99,C,8.01
247,6.67,A,21
248,12.88,C,12.64
249,21.85,D,14.54
250,6.67,A,14.88
251,7.21,A,34.58
252,11.47,B,19.32
253,14.08,C,0.32
254,13.56,C,13.28
255,6.67,A,27.2
256,6.08,A,6.2
257,9.17,B,23.96
258,12.99,C,27.77
259,14.65,C,25.14
260,14.49,C,20.56
261,11.49,B,29.71
262,10.49,B,25.56
263,11.8,B,23.73
264,18.55,E,11.18
265,7.26,A,28.56
266,10.49,B,21.11
267,10.78,B,29.35
268,13.59,C,28.27
269,7.35,A,14.59
270,7.99,A,8.46
271,9.17,B,11.71
272,9.93,B,23.13
273,7.35,A,10.65
274,11.53,B,17.81
275,10.91,B,26.57
276,13.11,B,26.11
277,18.99,E,18.88
278,7.35,A,7.31
279,15.05,C,10.48
280,16.14,C,11.81
281,11.49,B,31.75
282,15.05,C,16.24
283,22.39,E,15.38
284,11.53,B,15.06
285,13.06,C,24.76
286,22.35,D,38.61
287,20.75,E,25.32
288,11.99,C,37.44
289,11.49,B,11.28
290,14.47,C,15.02
291,5.31,A,22.95
292,20.89,D,9.09
293,17.27,D,19.03
294,17.97,D,29.81
295,9.93,B,7.16
296,8.18,B,17.14
297,12.99,C,6.08
298,10.99,B,31.31
299,14.08,C,5.99
300,12.39,C,17.12
301,21.49,D,18.27
302,10.75,B,2.92
303,6.99,A,19.59
304,10.75,B,11.4
305,10.99,B,23.95
306,14.52,C,1.04
307,22.35,D,27.58
308,12.98,B,5.98
309,12.62,C,7.42
310,16.99,D,31.2
311,12.99,C,32.83
312,7.26,A,13.95
313,10.99,B,26.63
314,16.55,D,8.73
315,13.68,C,7.28
316,29.99,F,24.58
317,8.46,A,26.1
318,14.46,C,28.56
319,8.39,A,31.4
